ts_code,freq,quantile,pct_gain_1p,pct_gain_2p,pct_gain_3p,pct_gain_5p,pct_loss_1p,pct_loss_2p,pct_loss_3p,pct_loss_5p,top_or_bottom,period
000017.SZ,D,0.75,16.68,25.1825,32.0675,41.265,-1.0925,-3.6325,-5.205,-7.95,B,34
000017.SZ,D,0.9,33.177,48.102,60.791,80.147,0,0,0,-0.776,B,34
000017.SZ,D,0.1,0,0,0,0,-23.866,-31.559,-38.511,-46.998,T,34
000017.SZ,D,0.25,0.35,1.705,2.7225,4,-16.025,-22.2725,-26.0625,-33.675,T,34
000017.SZ,D,0.5,4.435,8.39,11.145,16,-9.12,-13.48,-16.305,-20.42,T,34
000017.SZ,D,0.75,12.6775,21.69,28.3775,37.33,-4.03,-6.19,-7.9425,-10.165,T,34
000017.SZ,D,0.9,26.055,41.575,55.089,74.439,-1.411,-2.486,-3,-4.17,T,34
000019.SZ,D,0.1,0.978,1.669,2.099,2.889,-19.645,-27.477,-33.71,-42.43,B,34
000019.SZ,D,0.25,3.21,4.765,5.56,7.54,-11.31,-17.405,-21.395,-27.0425,B,34
000019.SZ,D,0.5,7.945,12.305,14.95,19.75,-4.88,-9.405,-12.295,-16.37,B,34
000019.SZ,D,0.75,15.4175,24.7675,32.035,41.5175,-0.6725,-2.4025,-3.9625,-6.1425,B,34
000019.SZ,D,0.9,29.48,45.4,57.69,75.32,0,0,0,-0.758,B,34
000019.SZ,D,0.1,0,0,0,0.111,-22.442,-29.537,-35.308,-44.453,T,34
000019.SZ,D,0.25,0.5375,2.1925,3.0675,4.815,-14.2525,-19.6575,-23.4525,-29.335,T,34
000019.SZ,D,0.5,5.04,8.81,12.04,16.595,-7.92,-11.645,-14.585,-18.17,T,34
000019.SZ,D,0.75,12.59,20.8975,28.0325,38.625,-3.44,-5.1475,-6.4875,-8.7275,T,34
000019.SZ,D,0.9,26.677,43.244,54.282,75.607,-1.091,-1.762,-2.33,-2.97,T,34
000020.SZ,D,0.1,0.72,1.717,2.269,3.219,-19.834,-26.163,-31.36,-37.826,B,34
000020.SZ,D,0.25,3.1375,5.1075,6.42,8.5625,-11.805,-18.3725,-21.3025,-27.35,B,34
000020.SZ,D,0.5,7.645,11.805,15.99,20.79,-5.555,-9.235,-12.355,-17.41,B,34
000020.SZ,D,0.75,16.8825,27.22,33.89,42.5275,-1.125,-3.26,-4.72,-6.9,B,34
000020.SZ,D,0.9,32.761,48.563,62.998,82.435,0,0,0,-0.859,B,34
000020.SZ,D,0.1,0,0,0,0,-22.538,-28.833,-33.559,-40.09,T,34
000020.SZ,D,0.25,0.365,2.0675,3.3725,5.11,-15.2,-20.8925,-24.0075,-29.87,T,34
000020.SZ,D,0.5,4.9,8.81,12.37,17.03,-8.31,-12.305,-15.345,-19.95,T,34
000020.SZ,D,0.75,13.055,22.9425,30.2525,38.9,-3.8675,-5.7375,-7.215,-9.385,T,34
000020.SZ,D,0.9,27.291,44.975,59.873,75.319,-1.383,-2.133,-2.75,-3.759,T,34
000021.SZ,D,0.1,0.72,1.32,1.61,2.122,-16.6,-24.294,-28.262,-36.704,B,34
